label,precision,recall,f1,support,TP,FP,FN,TN
drama,0.0,0.0,0.0,1008,0,0,1008,1002
comedy,0.0,0.0,0.0,648,0,0,648,1362
thriller,0.0,0.0,0.0,445,0,0,445,1565
romance,0.0,0.0,0.0,347,0,0,347,1663
horror,0.0,0.0,0.0,334,0,0,334,1676
action,0.0,0.0,0.0,308,0,0,308,1702
crime,0.0,0.0,0.0,299,0,0,299,1711
adventure,0.0,0.0,0.0,257,0,0,257,1753
fantasy,0.0,0.0,0.0,233,0,0,233,1777
science fiction,0.0,0.0,0.0,212,0,0,212,1798
mystery,0.0,0.0,0.0,189,0,0,189,1821
family,0.0,0.0,0.0,178,0,0,178,1832
animation,0.0,0.0,0.0,158,0,0,158,1852
history,0.0,0.0,0.0,110,0,0,110,1900
music,0.0,0.0,0.0,95,0,0,95,1915
documentary,0.0,0.0,0.0,64,0,0,64,1946
war,0.0,0.0,0.0,50,0,0,50,1960
tv movie,0.0,0.0,0.0,37,0,0,37,1973
western,0.0,0.0,0.0,28,0,0,28,1982
a,0.0,0.0,0.0,0,0,1657,0,353
i,0.0,0.0,0.0,0,0,30,0,1980
c,0.0,0.0,0.0,0,0,245,0,1765
h,0.0,0.0,0.0,0,0,118,0,1892
e,0.0,0.0,0.0,0,0,257,0,1753
d,0.0,0.0,0.0,0,0,1883,0,127
r,0.0,0.0,0.0,0,0,1766,0,244
o,0.0,0.0,0.0,0,0,342,0,1668
n,0.0,0.0,0.0,0,0,10,0,2000
l,0.0,0.0,0.0,0,0,21,0,1989
m,0.0,0.0,0.0,0,0,1883,0,127
t,0.0,0.0,0.0,0,0,31,0,1979
u,0.0,0.0,0.0,0,0,1,0,2009
y,0.0,0.0,0.0,0,0,236,0,1774
